date,All Employees: Government,state,msa,city,title,id,frequency,seasonal_adjustment
1995-03-01,253.418708360752,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1995-04-01,253.44943030455502,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1995-05-01,253.436255224441,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1995-06-01,255.18849455873,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1995-07-01,255.528687683349,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1995-08-01,256.112998757636,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1995-09-01,255.97510101064,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1995-10-01,255.82288418995498,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1995-11-01,256.233952653049,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1995-12-01,256.593583648412,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1996-01-01,256.327083452116,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1996-02-01,256.528998239776,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1996-03-01,256.690392797197,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1996-04-01,256.950873116004,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1996-05-01,257.395912941431,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1996-06-01,257.786756223225,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1996-07-01,259.25807439686,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1996-08-01,256.117470459446,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1996-09-01,256.62833249397096,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1996-10-01,258.778184134016,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1996-11-01,258.607935677409,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1996-12-01,259.036473933875,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1997-01-01,259.374511144229,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1997-02-01,260.343170100629,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1997-03-01,261.53468809322,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1997-04-01,260.825015265039,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1997-05-01,262.233437179651,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1997-06-01,261.42860153519797,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1997-07-01,261.87736122994704,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1997-08-01,262.009464901946,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
