date,All Employees: Manufacturing,state,msa,city,title,id,frequency,seasonal_adjustment
1995-12-01,197.62616840000598,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1996-01-01,198.116008112336,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1996-02-01,197.86222415985,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1996-03-01,198.50299814259603,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1996-04-01,199.27088642123297,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1996-05-01,198.457943041767,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1996-06-01,198.514433127546,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1996-07-01,199.702378232613,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1996-08-01,199.836250653279,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1996-09-01,200.20438216145502,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1996-10-01,201.43752513784,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1996-11-01,201.377618412859,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1996-12-01,201.18333579886502,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1997-01-01,201.105416207831,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1997-02-01,201.911716433587,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1997-03-01,201.78315336992,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1997-04-01,202.493511676253,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1997-05-01,203.279580192123,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1997-06-01,203.64673467290902,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1997-07-01,202.774752063791,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1997-08-01,203.535447522439,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1997-09-01,203.373086389173,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1997-10-01,203.156838203624,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1997-11-01,203.782047303112,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1997-12-01,203.92601031330202,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1998-01-01,204.77501306834802,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1998-02-01,205.256193236399,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1998-03-01,204.82063227394403,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1998-04-01,203.480843342146,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1998-05-01,204.19383783563,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1998-06-01,203.876631951186,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1998-07-01,205.18953675497397,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1998-08-01,205.573813490625,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1998-09-01,205.986759841051,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1998-10-01,206.38639409966498,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1998-11-01,207.299697716674,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1998-12-01,207.310252231024,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1999-01-01,205.753213495755,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1999-02-01,205.32603413063597,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1999-03-01,205.617746108413,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1999-04-01,206.484876706457,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1999-05-01,207.112482993777,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1999-06-01,206.817827597038,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1999-07-01,205.902936624164,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1999-08-01,205.778625078813,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1999-09-01,206.00707595837002,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1999-10-01,206.386394434871,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1999-11-01,206.208784501515,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1999-12-01,206.415790639182,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
2000-01-01,205.728085578037,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
2000-02-01,205.73758521109102,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
