date,year,month,city,state,housing_median_listing_price,education,financial,hourly_earnings,resident_population,government,manufacturing,housing_active_listing_count,unemployment_rate,housing_median_home_size_in_square_feet,housing_new_listing_count,housing_median_days_on_market,leisure
2018-08-01,2018,8,New York,NY,532450.0,2.7824904586240463e-10,1.0941469203845454e-10,32.5258801098927,19289.42,1.83474384721313e-10,5.0586739961121014e-11,1.107389370168758e-08,3.8,1949.5,3.000596058876997e-09,67.0,1.3090280018010575e-10
2018-09-01,2018,9,New York,NY,535000.0,2.7785462190733883e-10,1.093939289387712e-10,32.9793942915414,19289.42,1.8505560032036312e-10,5.048909574893462e-11,1.1193298921898277e-08,3.7,1932.0,3.3851449594388708e-09,71.0,1.3091129048194192e-10
2018-10-01,2018,10,New York,NY,538312.0,2.80439422523962e-10,1.0956523844756117e-10,32.861428135745605,19289.42,1.849424729681039e-10,5.0587856419700256e-11,1.1274109922740991e-08,3.7,1911.5,3.05186924561858e-09,68.5,1.310923841697745e-10
2018-11-01,2018,11,New York,NY,535000.0,2.8068202680391846e-10,1.0965121657957811e-10,33.0404225556956,19289.42,1.85212644104797e-10,5.0573511292357304e-11,1.0882037239342035e-08,3.7,1888.0,2.5246471297757797e-09,69.5,1.3115330073113507e-10
2018-12-01,2018,12,New York,NY,525000.0,2.819907929672294e-10,1.0952311625093335e-10,33.2491829022634,19289.42,1.851111395198601e-10,5.058766369255135e-11,9.854622894145206e-09,3.8,1872.0,1.7744981150565304e-09,82.0,1.3162292523067938e-10
2019-01-01,2019,1,New York,NY,520000.0,2.8593811661817996e-10,1.1091814887730612e-10,33.183436002187,19232.494,1.8590987050660544e-10,5.101389768996007e-11,9.165597070600719e-09,3.8,1847.0,2.79228594099064e-09,87.5,1.3289501345401246e-10
2019-02-01,2019,2,New York,NY,528500.0,2.87147868136734e-10,1.1107268353597518e-10,33.2960880361359,19232.494,1.8634396289203607e-10,5.1013695233944456e-11,9.461918997886677e-09,3.7,1850.0,2.8136526074742573e-09,81.5,1.329608406265555e-10
2019-03-01,2019,3,New York,NY,540714.2857,2.881005782286035e-10,1.1122823929784856e-10,33.3015289710848,19232.494,1.8632827089659473e-10,5.1011291758692994e-11,1.00509080279285e-08,3.7,1886.714286,3.440033303862412e-09,57.0,1.3307219348156566e-10
2019-04-01,2019,4,New York,NY,556500.0,2.8852672806652363e-10,1.1133343620960958e-10,33.2429674040729,19232.494,1.8665953246857064e-10,5.108006101226385e-11,1.0737452758888946e-08,3.6,1930.5,4.068100842341377e-09,51.5,1.3291491336618618e-10
2019-05-01,2019,5,New York,NY,569500.0,2.887848852102387e-10,1.11454365941309e-10,33.3104432153565,19232.494,1.8693599570641348e-10,5.1028696726615e-11,1.1646098365139627e-08,3.5,1934.5,4.358799962657962e-09,51.5,1.329068666897836e-10
2019-06-01,2019,6,New York,NY,569000.0,2.89428410876974e-10,1.116830680181262e-10,34.016800865791105,19232.494,1.881821517162149e-10,5.091196560686278e-11,1.205543871250998e-08,3.5,1964.0,3.781899967600291e-09,57.0,1.3280631560706682e-10
2019-07-01,2019,7,New York,NY,559500.0,2.894851984627415e-10,1.1171060579420375e-10,33.3525993100265,19232.494,1.8612627482591315e-10,5.0767619671801467e-11,1.1889284766565008e-08,3.5,1960.0,3.13808856960708e-09,63.5,1.33365526168903e-10
2019-08-01,2019,8,New York,NY,553989.1429,2.9029804092197936e-10,1.1179676240453693e-10,33.6629612254861,19232.494,1.8619875790735596e-10,5.051390791925678e-11,1.1610955821581044e-08,3.5,1951.857143,3.451841198498095e-09,72.0,1.331233149493483e-10
2019-09-01,2019,9,New York,NY,550461.1429,2.906036870318952e-10,1.1145303014563301e-10,34.140830652579396,19232.494,1.8738463587266874e-10,5.035457230828012e-11,1.1314212183772382e-08,3.5,1932.0,3.6199631268823485e-09,71.0,1.3337258979399562e-10
2019-10-01,2019,10,New York,NY,558028.0,2.916912316025329e-10,1.1141015075258357e-10,33.9220494306483,19232.494,1.8706917046542427e-10,5.024708597546696e-11,1.1280475341956144e-08,3.5,1924.0,2.885624536682232e-09,67.0,1.3319582756254027e-10
2019-11-01,2019,11,New York,NY,550000.0,2.9261165538751423e-10,1.1142954986486e-10,34.062661872979,19232.494,1.8800107263781467e-10,5.0291897643891035e-11,1.0614453856433912e-08,3.5,1872.0,2.494839452310807e-09,66.0,1.3379163680788425e-10
2019-12-01,2019,12,New York,NY,553527.5,2.93191258732471e-10,1.1146215332168146e-10,34.3515293317458,19232.494,1.8737660944623236e-10,5.0173856113280785e-11,9.224917684127605e-09,3.5,1854.0,1.4444991104319278e-09,83.5,1.341663343070554e-10
2020-01-01,2020,1,New York,NY,549000.0,2.9992875900377797e-10,1.1341587452829784e-10,34.0450804369346,19124.359,1.917111865796587e-10,5.1091442127553286e-11,8.569511693836522e-09,3.4,1845.0,2.726116933234481e-09,91.5,1.3672778549145807e-10
2020-02-01,2020,2,New York,NY,559900.0,3.0062075915219655e-10,1.1369923486105308e-10,34.3709256475978,19124.359,1.9149157656470525e-10,5.109911162463334e-11,8.765664013555301e-09,3.4,1860.0,3.1167059547153183e-09,77.0,1.3738772697424086e-10
2020-03-01,2020,3,New York,NY,569450.0,2.9754442713430946e-10,1.1331967590043616e-10,34.504526513569004,19124.359,1.9140802325623245e-10,5.0618704239596125e-11,9.056461257220025e-09,4.0,1881.0,2.9125474178651584e-09,56.0,1.2951806679374907e-10
2020-04-01,2020,4,New York,NY,580000.0,2.559757728847554e-10,1.0845706089248603e-10,35.9847725165025,19124.359,1.8480968409700032e-10,4.094188754001439e-11,8.746506279705217e-09,16.4,1871.5,1.2003606970545784e-09,56.0,5.537114128737658e-11
2020-05-01,2020,5,New York,NY,579000.0,2.577490500682825e-10,1.0832202093282361e-10,34.991495979323695,19124.359,1.831112154049582e-10,4.3410249884009165e-11,8.356775067202741e-09,17.2,1860.0,2.61917674726535e-09,74.0,5.877057166145841e-11
2020-06-01,2020,6,New York,NY,589500.0,2.634351091741403e-10,1.0752387573738081e-10,35.1067435868534,19124.359,1.823336234936466e-10,4.5279854834541406e-11,8.751081260923147e-09,16.0,1888.0,3.7943750476213085e-09,77.0,6.021802192396661e-11
2020-07-01,2020,7,New York,NY,599499.5,2.6660991797526186e-10,1.073555050783707e-10,35.0097013942929,19124.359,1.7642087714076037e-10,4.5869868832850005e-11,9.206291892107256e-09,15.3,1812.0,3.961361862075782e-09,48.5,7.004377870870593e-11
2020-08-01,2020,8,New York,NY,635000.0,2.7163281082335405e-10,1.07969563145486e-10,35.6995848665623,19124.359,1.8081032742528895e-10,4.6255195419169836e-11,9.532974144700124e-09,12.1,1734.0,3.835549878582686e-09,45.0,7.658452495484735e-11
2020-09-01,2020,9,New York,NY,644450.0,2.738012322172104e-10,1.084857588833135e-10,35.3338793938747,19124.359,1.886570870341813e-10,4.6445367071983e-11,9.597881690729515e-09,10.3,1690.0,3.892165271154578e-09,50.0,8.442511809706626e-11
2020-10-01,2020,10,New York,NY,655360.0,2.740348713874967e-10,1.0833665496689915e-10,35.3346390485476,19124.359,1.8527008048050784e-10,4.662557049037904e-11,9.81290580797226e-09,8.9,1645.0,3.758347070530104e-09,49.0,8.633491807322726e-11
2020-11-01,2020,11,New York,NY,649000.0,2.753701065542345e-10,1.0832979697687698e-10,35.7393536659169,19124.359,1.8384271522687629e-10,4.659487396284899e-11,9.389577077150606e-09,10.0,1635.0,2.6260392190922458e-09,63.0,8.670420827803582e-11
2020-12-01,2020,12,New York,NY,649450.0,2.7565218870649715e-10,1.0807685894736384e-10,35.7033052731725,19124.359,1.8372422978336942e-10,4.687601266146516e-11,8.17720705439896e-09,9.3,1587.5,1.7859582929497136e-09,75.0,8.16610219288888e-11
