date,Per Capita Personal Income,state,msa,city,title,id,frequency,seasonal_adjustment
1973-01-01,6480,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1974-01-01,7020,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1975-01-01,7599,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1976-01-01,8112,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1977-01-01,8850,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1978-01-01,9757,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1979-01-01,10724,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1980-01-01,12015,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1981-01-01,13426,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1982-01-01,14544,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1983-01-01,15629,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1984-01-01,17216,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
