date,year,month,city,state,housing_median_listing_price,education,financial,hourly_earnings,resident_population,government,manufacturing,housing_active_listing_count,unemployment_rate,housing_median_home_size_in_square_feet,housing_new_listing_count,housing_median_days_on_market,leisure
2019-11-01,2019,11,New York,NY,550000.0,5.6276519065704345e-06,2.1430681491986206e-06,34.062661872979,19232.494,3.6157295015003345e-06,9.672386196847485e-07,0.00020414242010714204,3.5,1872.0,4.7981984797530883e-05,66.0,2.5731468521578125e-06
2019-12-01,2019,12,New York,NY,553527.5,5.6387991244246955e-06,2.1436951949863187e-06,34.3515293317458,19232.494,3.603719516915007e-06,9.64968386655536e-07,0.00017741817401047805,3.5,1854.0,2.7781320474387388e-05,83.5,2.5803532195624368e-06
2020-01-01,2020,1,New York,NY,549000.0,5.735945261612732e-06,2.1690059007781236e-06,34.0450804369346,19124.359,3.6663535564653754e-06,9.77091081075053e-07,0.00016388641808762772,3.4,1845.0,5.213523890715525e-05,91.5,2.614831255013636e-06
2020-02-01,2020,2,New York,NY,559900.0,5.749179320879143e-06,2.174424985508094e-06,34.3709256475978,19124.359,3.66215365569941e-06,9.772377552905613e-07,0.00016763770546861245,3.4,1860.0,5.9605003575413494e-05,77.0,2.6274522128493662e-06
2020-03-01,2020,3,New York,NY,569450.0,5.690346442965875e-06,2.1671661636835894e-06,34.504526513569004,19124.359,3.6605557522325382e-06,9.680502719928584e-07,0.0001731990163526671,4.0,1881.0,5.570060242377631e-05,56.0,2.476950006349636e-06
2020-04-01,2020,4,New York,NY,580000.0,4.8953725759505276e-06,2.0741717685927635e-06,35.9847725165025,19124.359,3.534366745347625e-06,7.82987355452862e-07,0.00016727132608883698,16.4,1871.5,2.2956128899962002e-05,56.0,1.0589375842195119e-06
2020-05-01,2020,5,New York,NY,579000.0,4.929285365414809e-06,2.0715892159248335e-06,34.991495979323695,19124.359,3.501884620330751e-06,8.301932030614997e-07,0.00015981796646743435,17.2,1860.0,5.009007639915482e-05,74.0,1.1239495110889572e-06
2020-06-01,2020,6,New York,NY,589500.0,5.038027601050452e-06,2.0563252006730605e-06,35.1067435868534,19124.359,3.487013673463332e-06,8.659481993236555e-07,0.00016735881967206695,16.0,1888.0,7.2564990591352e-05,77.0,1.1516310695438081e-06
2020-07-01,2020,7,New York,NY,599499.5,5.0987437843194614e-06,2.0531052197450843e-06,35.0097013942929,19124.359,3.373936189534795e-06,8.772318388423345e-07,0.00017606443120344844,15.3,1812.0,7.575850637924573e-05,48.5,1.3395423697418487e-06
2020-08-01,2020,8,New York,NY,635000.0,5.194803390364909e-06,2.0648486866674437e-06,35.6995848665623,19124.359,3.4578816125887715e-06,8.846009628113595e-07,0.00018231201988096313,12.1,1734.0,7.335243284042169e-05,45.0,1.4646299490809597e-06
2020-09-01,2020,9,New York,NY,644450.0,5.2362730595642975e-06,2.0747205992719265e-06,35.3338793938747,19124.359,3.6079458603359287e-06,8.882378737713818e-07,0.00018355333509303823,10.3,1690.0,7.443516593289251e-05,50.0,1.6145762671056919e-06
2020-10-01,2020,10,New York,NY,655360.0,5.240741258933315e-06,2.0718690824461127e-06,35.3346390485476,19124.359,3.5431715310681247e-06,8.916841486378148e-07,0.00018766553350484658,8.9,1645.0,7.187597862341604e-05,49.0,1.6510999674679865e-06
2020-11-01,2020,11,New York,NY,649000.0,5.266276775611433e-06,2.07173792778291e-06,35.7393536659169,19124.359,3.5158740855335486e-06,8.910970972252769e-07,0.0001795696428815989,10.0,1635.0,5.0221316773999764e-05,63.0,1.6581624059199288e-06
2020-12-01,2020,12,New York,NY,649450.0,5.271671415958797e-06,2.0669006501017482e-06,35.7033052731725,19124.359,3.513608127375649e-06,8.964736946264051e-07,0.00015638384332565823,9.3,1587.5,3.415530755339749e-05,75.0,1.5617146996749418e-06
2016-07-01,2016,7,Topeka,KS,110000.0,0.00032498343018214434,0.0001261095479761285,21.8676233900668,233.237,6.433882880916912e-05,0.00010123191122779897,0.016011177112224658,4.0,1680.0,0.005735347025274505,53.0,0.00014138242684585143
2016-08-01,2016,8,Topeka,KS,109925.0,0.0003248034735485999,0.00012760045598268928,22.2173232235249,233.237,6.433882880916912e-05,0.00010306119033814666,0.015588379094335834,4.0,1680.0,0.00514710630473353,53.5,0.00013940658955316658
2016-09-01,2016,9,Topeka,KS,112500.0,0.00032542218122676516,0.0001284553814729877,22.419560638781398,233.237,6.433882880916912e-05,0.00010209590057651403,0.015569996571818928,4.0,1666.0,0.005735347025274505,57.0,0.00014017383730052
2016-10-01,2016,10,Topeka,KS,115000.0,0.0003212813375885776,0.00012835387982125765,22.9576879620397,233.237,6.433882880916912e-05,0.00010210350112294562,0.015312641256582252,4.0,1680.0,0.005220636394801152,54.0,0.00013987715138091128
2016-11-01,2016,11,Topeka,KS,114450.0,0.00032354124887232655,0.000128254188453933,22.8748602392085,233.237,6.433882880916912e-05,0.00010360194352940981,0.014797930626108898,3.9,1677.5,0.005073576214665908,53.5,0.00014186211816533494
2016-12-01,2016,12,Topeka,KS,107500.0,0.00032088810192308783,0.00012802522354221592,22.5332391410375,233.237,6.433882880916912e-05,0.00010330031035533597,0.013639831707543853,3.8,1660.0,0.0026470832424343865,68.0,0.0001417930351144758
2017-01-01,2017,1,Topeka,KS,107625.0,0.0003213037853661027,0.00012768773832457463,22.2825059064038,233.047,6.444378069146574e-05,0.00010330740787328694,0.012281143348916473,3.7,1657.0,0.004639952209785535,68.5,0.0001422268020026336
2017-02-01,2017,2,Topeka,KS,109900.0,0.0003201894066908556,0.0001276976434489894,21.8560636578106,233.047,6.444378069146574e-05,0.00010315087661409293,0.012225905822609502,3.7,1693.0,0.005081852420241299,51.0,0.0001429481272766668
2017-03-01,2017,3,Topeka,KS,117450.0,0.0003233560706489379,0.0001281624566689405,22.0958797662097,233.047,6.444378069146574e-05,0.00010356437754586217,0.012483680945375365,3.7,1716.0,0.006628503156836477,44.5,0.00014336405507948448
2017-04-01,2017,4,Topeka,KS,122900.0,0.00032122749573394233,0.00012797196847471365,22.1270669826922,233.047,6.444378069146574e-05,0.00010258228503429002,0.012281143348916473,3.7,1750.0,0.006407553051608594,50.0,0.0001426910389655518
2017-05-01,2017,5,Topeka,KS,122400.0,0.00032076892416899185,0.00012775586215140933,22.322316952058202,233.047,6.444378069146574e-05,0.00010263221068399394,0.013128118752290021,3.7,1764.0,0.006333903016532634,48.5,0.00014314740818440624
2017-06-01,2017,6,Topeka,KS,129900.0,0.0003219088181662665,0.0001283442958295327,22.3486884606739,233.047,6.260252981456673e-05,0.00010449925690140869,0.013293831331210934,3.7,1784.0,0.006554853121760516,44.0,0.000143374511658139
2017-07-01,2017,7,Topeka,KS,125000.0,0.000323324982996462,0.00012814432406734488,22.3388858075646,233.047,6.444378069146574e-05,0.00010479504991133226,0.01366208150659074,3.7,1776.0,0.00596565284115283,46.0,0.00014528150042942862
2017-08-01,2017,8,Topeka,KS,122975.0,0.0003213733913576501,0.0001277446504642489,22.040212149598304,233.047,6.444378069146574e-05,0.00010492117798360055,0.014969369629189044,3.6,1730.5,0.006481203086684556,47.0,0.0001449711537026283
2017-09-01,2017,9,Topeka,KS,117500.0,0.00032187142948123036,0.00012871834130036625,22.161817099337,233.047,6.260252981456673e-05,0.0001057913470074617,0.01552174489225875,3.5,1695.0,0.006260252981456673,45.0,0.00014580661164368682
2017-10-01,2017,10,Topeka,KS,119900.0,0.00032370991957810034,0.0001267962044256099,22.509190871146004,233.047,6.260252981456673e-05,0.0001056477969716516,0.015024607155496016,3.5,1707.5,0.005302802525469182,51.5,0.00014550846449724774
