date,All Employees: Federal Government,state,msa,city,title,id,frequency,seasonal_adjustment
1994-01-01,155.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
1995-01-01,154.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
1996-01-01,151.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
1997-01-01,147.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
1998-01-01,146.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
1999-01-01,147.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2000-01-01,152.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2001-01-01,145.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2002-01-01,142.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2003-01-01,139.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2004-01-01,135.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2005-01-01,133.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2006-01-01,132.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2007-01-01,132.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2008-01-01,130.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2009-01-01,129.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2010-01-01,133.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2011-01-01,119.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2012-01-01,114.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
